irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,1,,,executive functioning,Planning and Organization,Frameworks,working memory,0.686,0.664,Sesame Workshop Global Framework for Learning,"Use their working memory. Working memory, or the ability to hold information in mind and “work with it,” is a skill that supports learning in all content areas. Children learn to remember and follow a routine, rules, or directions using relevant information (e.g., remember a few items your family needs at the grocery store as you shop). Maintain focused attention. Children learn to resist distractions and instead use self-control to maintain focused attention. Persist at tasks. Children show self-control by stopping impulsive actions and reactions, and they learn to persist at tasks, sometimes delaying gratification or resisting distractions to continue the task at hand through frustration or challenges (e.g., getting dressed in the morning). If needed, they may break the task into smaller, more manageable components. Think flexibly. Children learn to think flexibly about a problem or situation by switching rules, doing the opposite, thinking about someone else’s perspective, applying different strategies or transitioning from one activity to another. Plan ahead. Children learn to anticipate and consider future needs in preparing for activities. They set goals and then develop and follow through on plans.",
,,,1,,Task Focus,Attention/Concentration,Claude Opus 4.5,Task Focus,0.685,0.96,Attention,Ability to stay engaged with activities,The degree to which a student can concentrate on and persist with assigned tasks or activities without becoming distracted or disengaged.
,,,1,,Study and Practice Habits,Habits/Routines,GPT 5.2 Thinking,Work Habits,0.685,0.676,Academic Skills and School Functioning,"using routines to review, practice, and prepare for learning","Study and practice habits reflect the routines a student uses to build knowledge and skills over time (e.g., reviewing notes, practicing skills, preparing for assessments, or completing practice work). Strong habits support steady learning and confidence. Weak habits may show as inconsistent preparation, cramming, or not knowing how to practice effectively outside of direct instruction."
,,1,,,Taking Responsibility,Responsibility for Self & Others,Claude Opus 4.5,responsibility,0.682,0.791,Independence,Ownership of actions and obligations,The extent to which a student accepts accountability for their behavior
,,,,1,self-awareness,Self-Image,Frameworks,self concept,0.682,0.776,Vision of the Haitian Child in Society: Social Emotional Framework,"Self-reflection (strengths, weakness, goals) Identity +/- influences or behaviors Role perception in social contexts (i.e.family, school, etc.) National and global identities",
,,,1,,Honesty & Trustworthiness,Integrity and Honesty,Clinical scales,Honesty,0.68,0.865,Conduct & Behavior,Truthfulness and ethical behavior,"A student's tendency to be truthful, avoid cheating, respect others' property, and behave in ways that are honest and trustworthy"
,,,,,Persistence,Perseverance,Claude Opus 4.5,Persistence,0.679,0.978,Motivation and Engagement,Continuing effort despite difficulty,"The student's willingness to keep working on challenging tasks, push through obstacles, and sustain effort even when success is not immediate."
,,1,,,Cooperation,Social Cooperation,Clinical scales,Cooperation,0.679,0.958,Prosocial Behavior,Working well with others,"The student's ability to collaborate, share, take turns, and work productively as part of a group"
,,1,,,Self-Management,Self-Control,Claude Opus 4.5,Self-Regulation,0.678,0.86,Independence,Regulating one's own behavior and learning,The extent to which a student monitors and directs their own actions
,,,,1,emotional development and self-regulation,Emotion Regulation/Reactivity,Frameworks,child manages emotions with increasing independence,0.678,0.659,Sesame Workshop Global Framework for Learning,"Identify, name, and express their own emotions. Children learn to recognize and talk about their feelings, using words like happy, sad, surprised, frustrated, angry, and scared. They learn appropriate ways to express their feelings, like smiling, laughing, crying, dancing, singing, and drawing. They come to understand that their feelings can change over time or in different situations and that they can have more than one feeling at the same time. Regulate their emotions. Children learn to cope with and manage strong feelings appropriately. They become aware of clues inside their bodies to tell the difference between comfortable and uncomfortable feelings. They learn to use calming down strategies such as belly breathing to work through uncomfortable feelings in stressful or emotional situations. Regulate their behavior. Children control themselves in stressful and emotional situations. They may use self-regulation strategies such as self-talk, counting, or singing. Demonstrates self-control. Children resist a strong inclination to do one thing (overcoming an automatic response) and instead do what is most appropriate.",
,,,,1,emotional understanding/regulation,Emotion Regulation/Reactivity,Frameworks,emotion management,0.678,0.757,Vision of the Haitian Child in Society: Social Emotional Framework,Recognize and control emotions Tolerance versus flexibility Strong/djanm mentally,
,,,,,risk-takers,Risk Taking,Frameworks,taking responsible risks,0.677,0.722,IB Learner Profile,We approach uncertainty with forethought and determination; we work independently and cooperatively to explore new ideas and innovative strategies. We are resourceful and resilient in the face of challenges and change.,
,,,,1,self-awareness,Self-Image,Frameworks,self-awareness,0.677,0.931,Singapore Framework for 21CC and Student Outcomes,"A person who understands his own emotions, strengths, inclinations and weaknesses is able to develop positive self-concept and self-worth.",
,,,,,Physically Harms Self,Physically or Emotionally Harms Others,FACETS,self-control,0.676,0.414,Behavior Control and Regulation,causing injury to self,"Persistent thoughts of self-harm, especially thoughts that lead to actions causing harm, are always problematic, and usually require urgent attention. Self-harm may or may not have suicidal intent, although the risk for suicidal behavior is increased in the presence of self-harm. In moments of despair or incredible anger, typical individuals may rarely have thoughts of self-harm. However, these thoughts are readily recognized as inappropriate and quickly managed without any action directed toward self-harm."
,,,,,Physically or Emotionally Harms Others,Physically Harms Self,FACETS,self-control,0.676,0.433,Behavior Control and Regulation,causing physical or emotional harm to other persons,"Persistent thoughts of harm to others, especially those that lead to actions that cause harm are always problematic, and usually require urgent attention. Harm to others may also include emotional harm. Ideas about harming others usually has no homicidal intent, however, these wishes to cause physical or emotional harm to others may lead to serious consequences. As a result, in the presence of these thoughts, careful evaluations are necessary, and targets of the harmful thoughts (e.g., animals, children, other adults) should be protected until the potential threat has passed."
