"Source","Category","Subcategory","Brief Description","Description","Max FACETS similarity value","Max FACETS similarity","Max non-FACETS similarity value","Max non-FACETS similarity","Redundant FACETS","Redundant non-FACETS"
"Frameworks","Character Lab","grit","Grit is perseverance and passion for long-term goals.","","0.565","Perseverance","0.818","grit","Yes","Yes"
"Frameworks","Character Lab","growth mindset","Having a growth mindset means understanding that intelligence can be developed.","","0.482","Thinking Speed","0.894","Growth Mindset","Yes","Yes"
"Frameworks","Character Lab","optimism","Optimism is being hopeful about future outcomes combined with the agency to shape that future.","","0.493","Future Outlook","0.827","optimism","Yes","Yes"
"Frameworks","Character Lab","purpose","Having a purpose means being driven by something larger than yourself.","","0.474","Academic Motivation","0.762","sense of purpose","Yes","Yes"
"Frameworks","Character Lab","self-control","Self-control is controlling one's own responses so they align with short- and long-term goals.","","0.868","Self-Control","0.942","self-control","Yes","Yes"
"Frameworks","Character Lab","social/emotional intelligence","Social/Emotional intelligence is understanding feelings and using them to inform actions.","","0.495","Social Communication","0.833","social intelligence","Yes","Yes"
"Frameworks","Character Lab","zest","Zest—also referred to as vitality—is an approach to life that is filled with excitement and energy.","","0.362","Creativity","0.837","zest","Yes","Yes"
"Frameworks","Clover Model","active engagement","Active Engagement is about physically connect- ing to the world. Everyone (regardless of physical ability) exists in their body—physical existence is the foundation of mental and emotional existence. The body is a significant factor in psychosomatic, eating, and stress disorders.","","0.646","Social Engagement","0.655","Engagement with Learning","Yes","Yes"
"Frameworks","Clover Model","assertiveness","Assertiveness is about having agency and self-efficacy, the ability to negotiate one’s self in relation to others, and make decisions. All humans feel the need to affect the world around them. Assertiveness reminds us that young people need opportunities to develop their voices, make decisions for themselves, and master internal order and executive function.","","0.832","Assertiveness","0.898","assertiveness","Yes","Yes"
"Frameworks","Clover Model","belonging","Belonging is about building strong relationships with peers and adults, group acceptance and group identity. The need for belonging is central to our early development in our attachment to our caregivers and continues throughout our lives in a variety of ways. Humans are social creatures, and group belonging is essential for well-being and survival.","","0.663","Attachment","0.782","sense of belonging","Yes","Yes"
"Frameworks","Clover Model","reflection","Reflection describes the need to create and make meaning. It involves making sense of one’s own experiences, emotions and thoughts to create a sense of personal identity. Humans are conscious creatures; in fact, many philosophers have argued that the ability to reflect and take perspective is what makes humans unique.","","0.483","Self-Image","0.713","self-reflection/meta-cognition","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","achievement motivation","Young person is motivated to do well in school.","","0.7","Academic Motivation","0.777","achievement motivation","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","school engagement","Young person is actively engaged in learning.","","0.59","Social Engagement","0.745","Engagement with Learning","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","homework","Young person reports doing at least one hour of homework every school day.","","0.403","Planning and Organization","0.606","Academic Performance","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","bonding to school","Young person cares about her or his school.","","0.435","Attachment","0.681","Sense of Belonging","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","reading for pleasure","Young person reads for pleasure three or more hours per week.","","0.423","Reading","0.506","Enjoyment","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","caring","Young person places high value on helping other people.","","0.378","Empathy","0.729","integrity","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","equality and social justice","Young person places high value on promoting equality and reducing hunger and poverty.","","0.338","Sexual/Gender Identity and Behavior","0.704","social justice","No","Yes"
"Frameworks","Developmental Assets (ages 12-18)","integrity","Young person acts on convictions and stands up for her or his beliefs.","","0.572","Integrity and Honesty","0.749","integrity","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","honesty","Young person ""tells the truth even when it is not easy.""","","0.433","Integrity and Honesty","0.667","integrity","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","responsibility","Young person accepts and takes personal responsibility.","","0.686","Responsibility for Self & Others","0.791","Taking Responsibility","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","restraint","Young person believes it is important not to be sexually active or to use alcohol or other drugs.","","0.428","Self-Control","0.513","resistance skills","Yes","Yes"
"Frameworks","Developmental Assets (ages 12-18)","planning and decision making","Young person knows how to plan ahead and make choices.","","0.578","Planning and Organization","0.693","planning","Yes","Yes"
